task,system,mrr_cutoff,queries,mrr,recall@1,hit@1,ndcg@1,recall@5,hit@5,ndcg@5,recall@10,hit@10,ndcg@10,recall@50,hit@50,ndcg@50
text,lexical_bm25,50,81,0.8614344503233392,0.2820489329874623,0.7777777777777778,0.7777777777777778,0.835485165177812,0.9876543209876543,0.8616239330635693,0.9174385397867966,1.0,0.8888065622629986,0.9976851851851852,1.0,0.9062570444616102
text,faiss_flat,50,81,0.4757268048662385,0.10987908818596649,0.32098765432098764,0.32098765432098764,0.45203165441260673,0.654320987654321,0.3993966674888575,0.5898158964296532,0.7777777777777778,0.4481777541333724,0.7891625740225778,0.9012345679012346,0.5180497515052767
text,hybrid_rrf,50,81,0.7600288600288602,0.21682259553890268,0.6296296296296297,0.6296296296296297,0.7021939498156283,0.9506172839506173,0.694158800161334,0.8415244432028446,0.9753086419753086,0.7436714756924611,0.9716557302028328,1.0,0.7811198837675605
