pipeline,targets,not_retrieved_count,not_retrieved_share,retrieved_below_top10_count,retrieved_below_top10_share,top10_not_top5_count,top10_not_top5_share,top5_count,top5_share,retrieval_hit_rate,top10_hit_rate,perfect_candidate_ranking_headroom
Collaborative,3954,676,0.17096611026808295,2251,0.5692969145169449,385,0.0973697521497218,642,0.16236722306525037,0.829033889731917,0.2597369752149722,0.5692969145169449
Hybrid,3954,547,0.1383409205867476,2356,0.595852301466869,398,0.10065756196256954,653,0.16514921598381385,0.8616590794132524,0.2658067779463834,0.595852301466869
