model,segment,evaluated_users,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10,catalog_coverage@10
content,11+ items,2493,0.057360609707180106,0.011472121941436021,0.0336536884104139,0.12354592860008022,0.012354592860008022,0.05472096837760804,
content,3-5 items,518,0.059845559845559844,0.011969111969111969,0.032387248529958765,0.10810810810810811,0.010810810810810811,0.04829277969207888,
content,6-10 items,943,0.07104984093319194,0.014209968186638389,0.04071900955447337,0.1261930010604454,0.012619300106044541,0.05824575252145869,
